Date,Title,Quantity Sold,Total Revenue
2025-05-24,Book_9977,5,855
2025-01-22,Book_3634,1,308
2025-09-13,Book_4753,5,3050
2025-07-23,Book_7155,2,804
2025-01-12,Book_9473,4,1524
2025-05-14,Book_1859,4,3672
2025-06-28,Book_8451,2,1638
2025-08-31,Book_7523,4,2308
2025-01-21,Book_9692,3,537
2025-08-23,Book_10000,4,1664
2025-12-20,Book_1075,5,1750
2025-01-27,Book_8529,4,1944
2025-01-10,Book_6974,3,729
2025-06-01,Book_2337,1,502
2025-09-30,Book_9440,3,2664
2025-07-17,Book_5878,3,2862
2025-12-04,Book_8515,2,616
2025-02-02,Book_1742,5,3970
2025-06-05,Book_5512,1,320
2025-08-26,Book_6914,4,1116
2025-02-28,Book_7917,1,332
2025-03-28,Book_5648,4,2496
2025-05-15,Book_5189,1,393
2025-01-22,Book_6537,4,2288
2025-09-22,Book_7676,1,650
2025-05-24,Book_169,2,1434
2025-08-10,Book_2837,2,584
2025-02-17,Book_3971,1,248
2025-09-29,Book_5260,2,958
2025-10-27,Book_4088,3,2634
2025-02-09,Book_208,4,3424
2025-05-02,Book_7498,1,209
2025-11-30,Book_6759,1,526
2025-02-27,Book_7370,2,1388
2025-03-25,Book_3827,3,564
2025-02-11,Book_2033,5,4210
2025-03-04,Book_4674,4,3776
2025-12-17,Book_5128,4,3576
2025-04-20,Book_133,3,1251
2025-02-22,Book_1026,1,966
2025-01-28,Book_4901,4,3512
2025-07-19,Book_6335,4,2312
2025-11-03,Book_2996,5,1145
2025-04-16,Book_4801,3,777
2025-02-05,Book_9448,1,383
2025-06-08,Book_3177,5,4835
2025-04-06,Book_8971,1,461
2025-05-24,Book_700,1,350
2025-08-25,Book_6403,2,1446
2025-08-14,Book_7217,4,3548
2025-08-02,Book_5152,2,1086
2025-11-29,Book_4512,2,742
2025-04-23,Book_2505,4,572
2025-02-22,Book_7613,1,820
2025-08-25,Book_4770,4,3784
2025-07-07,Book_3937,3,2529
2025-02-16,Book_119,3,2808
2025-11-06,Book_6314,3,921
2025-01-28,Book_760,3,2502
2025-06-24,Book_6372,5,1645
2025-05-17,Book_5827,5,2450
2025-06-20,Book_8355,2,1178
2025-05-24,Book_9003,1,822
2025-09-07,Book_2790,1,397
2025-08-30,Book_9454,1,645
2025-09-28,Book_504,4,2932
2025-01-11,Book_9774,4,1672
2025-01-25,Book_389,3,1884
2025-03-09,Book_6049,5,2915
2025-06-25,Book_3911,2,914
2025-12-24,Book_4652,1,773
2025-08-27,Book_3456,4,3836
2025-05-24,Book_9973,1,829
2025-06-17,Book_6275,5,705
2025-05-03,Book_6401,4,3360
2025-03-10,Book_1413,5,1760
2025-02-22,Book_2406,1,891
2025-10-02,Book_6595,4,1040
2025-03-31,Book_9382,1,976
2025-07-25,Book_1517,4,516
2025-05-16,Book_8394,3,909
2025-04-16,Book_821,1,844
2025-02-22,Book_8776,4,2580
2025-11-25,Book_6747,3,1677
2025-01-05,Book_3507,1,704
2025-04-18,Book_5035,3,798
2025-03-10,Book_2045,4,4000
2025-03-31,Book_9802,4,2708
2025-07-04,Book_217,4,1588
2025-10-10,Book_5786,5,2730
2025-12-24,Book_5353,3,1296
2025-08-27,Book_7624,1,502
2025-11-15,Book_7778,4,2400
2025-03-15,Book_1743,3,894
2025-09-29,Book_8315,2,1142
2025-10-07,Book_2116,5,1420
2025-11-19,Book_5594,1,140
2025-09-19,Book_8197,1,775
2025-07-11,Book_6751,1,876
2025-07-07,Book_3811,4,628
2025-06-03,Book_9479,1,587
2025-12-03,Book_8696,1,930
2025-03-14,Book_2283,2,2000
2025-03-18,Book_1329,5,4160
2025-07-07,Book_7517,3,2412
2025-06-30,Book_3960,3,1410
2025-03-04,Book_6023,2,1962
2025-12-08,Book_7455,3,1197
2025-05-12,Book_7993,3,1587
2025-02-12,Book_5595,5,2210
2025-04-16,Book_2186,3,972
2025-07-28,Book_3942,2,290
2025-12-10,Book_7142,2,1364
2025-06-09,Book_1311,4,1928
2025-11-25,Book_3461,5,3830
2025-11-08,Book_3851,2,1192
2025-07-22,Book_1083,4,2704
2025-08-31,Book_3691,3,1455
2025-03-08,Book_2705,1,524
2025-06-27,Book_7280,1,773
2025-06-27,Book_1758,2,1272
2025-08-12,Book_1959,3,963
2025-03-31,Book_7659,3,1104
2025-12-27,Book_5891,4,2836
2025-03-27,Book_7661,4,1340
2025-05-15,Book_9850,4,2124
2025-05-24,Book_8317,4,2336
2025-09-01,Book_9564,5,1590
2025-10-06,Book_3671,4,3020
2025-07-04,Book_9278,4,880
2025-06-24,Book_7328,1,603
2025-06-18,Book_7464,2,1776
2025-04-24,Book_8918,5,4045
2025-10-24,Book_6366,2,1072
2025-04-13,Book_7772,5,1265
2025-09-11,Book_8244,5,1745
2025-03-24,Book_3981,1,900
2025-08-04,Book_4624,2,1896
2025-06-18,Book_5650,1,240
2025-09-17,Book_9432,5,3640
2025-03-03,Book_7586,3,2790
2025-06-10,Book_4342,3,2538
2025-04-09,Book_8516,3,1371
2025-06-14,Book_3719,5,2075
2025-04-21,Book_9262,4,652
2025-12-06,Book_910,3,1362
2025-01-14,Book_5216,2,830
2025-10-29,Book_4136,2,384
2025-07-29,Book_7856,3,939
2025-11-15,Book_4954,5,3015
2025-03-04,Book_2485,3,2124
2025-04-20,Book_2725,1,838
2025-01-13,Book_4230,3,1785
2025-07-03,Book_8467,5,2285
2025-12-17,Book_1145,4,3672
2025-02-17,Book_8644,5,4995
2025-04-08,Book_4302,4,2148
2025-05-29,Book_3185,1,889
2025-06-28,Book_8461,1,496
2025-06-01,Book_2670,5,695
2025-05-05,Book_7949,2,534
2025-01-25,Book_8471,2,1384
2025-05-12,Book_1089,4,3336
2025-06-20,Book_421,4,2272
2025-05-04,Book_3830,4,3764
2025-08-02,Book_2197,1,774
2025-06-29,Book_9828,4,1140
2025-10-13,Book_6133,1,782
2025-05-09,Book_7998,5,1570
2025-04-19,Book_8275,2,1366
2025-12-02,Book_7720,1,423
2025-12-18,Book_9913,2,1474
2025-03-26,Book_2171,4,3772
2025-06-09,Book_2453,2,1110
2025-10-27,Book_2366,3,2913
2025-07-27,Book_6423,5,1615
2025-07-18,Book_3669,3,2931
2025-02-23,Book_2333,5,4965
2025-08-18,Book_1387,1,400
2025-03-13,Book_9812,2,786
2025-11-27,Book_4253,2,828
2025-11-22,Book_5461,3,1518
2025-04-07,Book_6870,1,459
2025-12-27,Book_6285,5,3975
2025-08-17,Book_8915,4,3592
2025-10-20,Book_9875,4,812
2025-08-13,Book_9461,5,4810
2025-04-20,Book_4036,2,1994
2025-03-01,Book_3297,4,2136
2025-07-02,Book_6027,3,1512
2025-02-15,Book_9042,1,587
2025-05-04,Book_9961,3,2958
2025-10-31,Book_9531,2,1996
2025-09-16,Book_2427,3,681
2025-02-18,Book_6622,2,1882
2025-08-13,Book_4147,5,2605
2025-06-17,Book_826,5,2930
2025-05-17,Book_6193,5,4650
2025-08-13,Book_9029,3,2556
2025-04-23,Book_4542,2,244
2025-08-19,Book_5203,2,840
2025-04-12,Book_2579,4,676
2025-07-26,Book_512,4,1712
2025-08-26,Book_2369,3,1812
2025-12-05,Book_7237,5,4455
2025-01-16,Book_5220,5,1045
2025-11-29,Book_5652,1,214
2025-02-14,Book_3212,5,2620
2025-09-24,Book_4492,5,4825
2025-02-19,Book_678,4,3188
2025-02-06,Book_3074,1,728
2025-08-14,Book_3082,2,1420
2025-04-05,Book_6149,1,947
2025-03-02,Book_5763,3,1437
2025-01-29,Book_5786,1,546
2025-03-06,Book_6808,4,1780
2025-11-24,Book_7197,5,1765
2025-08-13,Book_4557,1,441
2025-12-26,Book_6900,4,3836
2025-12-27,Book_279,5,850
2025-01-08,Book_8567,4,584
2025-10-15,Book_7403,4,780
2025-06-14,Book_107,5,2560
2025-04-06,Book_1338,2,1834
2025-10-19,Book_1909,5,1285
2025-08-26,Book_6222,5,1125
2025-04-26,Book_5486,5,1165
2025-09-27,Book_7239,1,554
2025-07-12,Book_7853,5,4915
2025-04-22,Book_5957,2,438
2025-01-15,Book_2624,5,995
2025-12-30,Book_5208,2,1312
2025-07-19,Book_9041,1,676
2025-11-02,Book_9939,3,309
2025-10-10,Book_9179,2,1012
2025-04-30,Book_4597,2,1616
2025-04-07,Book_2625,2,546
2025-04-25,Book_3933,3,2649
2025-07-31,Book_6733,3,2769
2025-09-06,Book_5109,2,478
2025-04-20,Book_524,4,1836
2025-08-24,Book_5756,4,2708
2025-04-25,Book_9725,2,264
2025-12-15,Book_8094,2,1156
2025-02-21,Book_7808,4,1996
2025-02-21,Book_1857,2,884
2025-09-30,Book_3250,3,1047
2025-02-03,Book_7767,3,1029
2025-05-05,Book_792,1,165
2026-01-01,Book_6257,2,1802
2025-07-05,Book_5600,5,795
2025-03-07,Book_5686,3,633
2025-05-10,Book_909,2,1168
2025-01-19,Book_3661,5,4685
2025-04-27,Book_9911,2,304
2025-12-30,Book_7430,1,335
2025-04-23,Book_9983,1,687
2025-04-16,Book_1497,2,546
2025-08-22,Book_5897,1,121
2025-06-24,Book_1032,4,2332
2025-10-04,Book_7232,2,726
2025-03-20,Book_1211,2,1838
2025-03-06,Book_9896,4,1608
2025-05-23,Book_8141,2,1386
2025-11-01,Book_2830,3,2700
2025-09-12,Book_9429,2,1432
2025-01-02,Book_8026,2,264
2025-03-11,Book_1893,5,3070
2025-12-07,Book_2278,3,1131
2025-06-18,Book_3650,5,3715
2025-09-29,Book_4282,2,1602
2025-09-01,Book_8047,5,3120
2025-01-28,Book_7510,5,1250
2025-02-10,Book_5733,4,2944
2025-03-21,Book_3743,5,1420
2025-10-03,Book_7427,3,963
2025-12-09,Book_4433,1,447
2025-12-10,Book_9363,3,957
2025-07-03,Book_3093,2,1382
2025-02-06,Book_2024,2,1530
2025-03-16,Book_1794,5,1305
2025-07-01,Book_2311,3,492
2025-06-27,Book_2567,2,1484
2025-11-22,Book_2590,5,4665
2025-06-17,Book_5622,4,2460
2025-01-21,Book_685,1,324
2025-06-07,Book_746,3,2538
2025-01-16,Book_8307,3,2073
2025-02-16,Book_497,3,573
2025-01-16,Book_6005,5,895
2025-07-15,Book_8928,2,1590
2025-06-24,Book_28,1,179
2025-03-30,Book_2167,1,524
2025-11-22,Book_3516,1,445
2025-01-07,Book_7670,2,300
2025-03-04,Book_6155,2,1020
2025-08-29,Book_7735,5,4185
2025-03-20,Book_1912,3,1188
2025-03-01,Book_3974,4,1636
2025-05-02,Book_8312,3,600
2025-12-29,Book_5451,4,412
2025-11-14,Book_6520,1,843
2025-08-10,Book_4247,4,3964
2025-05-28,Book_1258,1,483
2025-01-22,Book_3846,1,114
2025-05-29,Book_1333,3,1743
2025-08-03,Book_8910,4,748
2025-12-12,Book_350,5,3105
2025-03-30,Book_7553,3,2679
2025-04-14,Book_1758,5,3180
2025-07-03,Book_4703,5,3400
2025-09-02,Book_8746,1,589
2025-09-12,Book_8387,4,1992
2025-08-09,Book_8623,4,1228
2025-10-06,Book_7688,2,424
2025-01-03,Book_7751,3,1815
2025-04-13,Book_3847,3,1491
2025-03-14,Book_2751,1,243
2025-11-05,Book_7333,5,4375
2025-03-13,Book_6959,5,4590
2025-10-28,Book_4983,4,3076
2025-02-07,Book_6189,4,592
2025-08-26,Book_7007,3,1116
2025-06-09,Book_1109,4,1992
2025-02-18,Book_4508,5,2465
2025-11-02,Book_5024,1,449
2025-04-07,Book_9254,1,603
2025-03-18,Book_1854,1,104
2025-01-07,Book_9831,3,2922
2025-04-02,Book_8688,4,2936
2025-11-27,Book_3842,5,590
2025-09-03,Book_462,1,788
2025-02-14,Book_3642,1,547
2025-10-27,Book_7772,3,759
2025-08-11,Book_8511,2,1038
2025-10-11,Book_5377,2,1196
2025-06-08,Book_3696,4,3444
2025-06-13,Book_5881,2,692
2025-10-27,Book_5855,3,1662
2025-06-15,Book_2827,1,663
2025-01-19,Book_711,1,986
2025-10-18,Book_9932,2,416
2025-07-22,Book_2601,1,238
2025-08-14,Book_415,1,612
2025-04-12,Book_6699,5,4205
2025-02-23,Book_5699,2,928
2025-04-09,Book_9687,4,2836
2025-03-03,Book_7646,5,620
2025-03-02,Book_5046,1,323
2025-02-17,Book_9909,3,2112
2025-01-30,Book_4425,3,2640
2025-04-10,Book_6023,5,4905
2025-07-17,Book_2959,4,3632
2025-12-02,Book_1290,3,1476
2025-06-24,Book_1081,2,894
2025-04-21,Book_4389,1,123
2025-10-24,Book_1257,1,371
2025-10-23,Book_4827,4,2440
2025-10-24,Book_4883,1,930
2025-04-13,Book_8533,4,2876
2025-04-27,Book_5666,1,683
2025-12-17,Book_6199,2,1746
2025-06-24,Book_5585,1,956
2025-04-16,Book_3073,2,894
2025-12-27,Book_4844,3,1587
2025-02-14,Book_4019,2,472
2025-07-02,Book_542,4,3088
2025-08-14,Book_2040,3,324
2025-01-17,Book_6015,2,322
2025-05-01,Book_4361,2,476
2025-04-22,Book_7981,2,1692
2025-12-27,Book_7495,5,4865
2025-04-18,Book_7899,3,2205
2025-08-09,Book_5073,1,949
2025-03-31,Book_8812,2,1150
2025-02-02,Book_8983,4,748
2025-09-13,Book_1979,3,1764
2025-11-06,Book_748,4,3280
2025-06-01,Book_256,4,3100
2025-12-13,Book_4800,4,1920
2025-03-02,Book_8461,1,496
2025-03-23,Book_7810,3,1737
2025-12-01,Book_9248,3,354
2025-01-04,Book_8473,4,1256
2025-02-28,Book_4430,4,2752
2025-05-31,Book_6681,1,393
2025-10-20,Book_1329,2,1664
2025-07-15,Book_498,3,696
2025-12-10,Book_9111,1,548
2025-05-14,Book_7151,4,2528
2025-05-26,Book_8712,2,1806
2025-07-15,Book_2148,5,2150
2025-03-24,Book_4081,3,1077
2025-12-21,Book_2574,1,971
2025-09-02,Book_647,4,1520
2025-05-04,Book_6542,2,722
2025-09-19,Book_8395,1,755
2025-08-31,Book_1741,4,528
2025-06-03,Book_8695,5,1540
2025-07-21,Book_1766,4,684
2025-12-28,Book_2714,3,2325
2025-09-30,Book_2033,3,2526
2025-06-09,Book_2293,2,1572
2025-08-15,Book_2728,4,2064
2025-09-13,Book_1660,2,1630
2025-12-20,Book_6887,2,1612
2025-09-30,Book_3872,3,1431
2025-12-11,Book_8810,3,942
2025-11-22,Book_1882,3,2553
2025-07-17,Book_1431,3,1377
2025-11-14,Book_5855,3,1662
2025-06-25,Book_6429,3,1035
2025-11-30,Book_9346,1,494
2025-01-05,Book_948,2,1162
2025-05-29,Book_3523,4,2852
2025-08-13,Book_5941,2,1644
2025-01-29,Book_4163,2,978
2025-02-22,Book_6835,3,1650
2025-03-17,Book_1045,4,3996
2025-03-07,Book_6746,2,274
2025-04-20,Book_2933,1,768
2025-07-12,Book_1212,5,690
2025-03-28,Book_1902,3,2622
2025-06-01,Book_2697,1,271
2025-02-11,Book_5036,1,609
2025-05-23,Book_6805,4,1704
2025-06-19,Book_9579,5,2505
2025-06-16,Book_5631,1,234
2025-01-14,Book_8545,1,697
2025-09-25,Book_9135,4,964
2025-06-22,Book_9358,3,318
2025-02-13,Book_6888,3,414
2025-11-18,Book_3720,3,1032
2025-05-01,Book_5385,4,3200
2025-12-28,Book_507,5,4680
2025-05-19,Book_3253,2,1844
2025-06-20,Book_4473,2,1324
2025-03-08,Book_3579,2,1610
2025-08-01,Book_2486,2,538
2025-07-25,Book_205,5,4920
2025-04-25,Book_4722,3,2070
2025-07-16,Book_4619,3,1656
2025-10-10,Book_6556,2,1114
2025-09-01,Book_6339,3,2796
2025-10-25,Book_3961,4,556
2025-04-01,Book_9963,4,1352
2025-07-25,Book_455,1,810
2025-04-19,Book_8248,1,162
2025-04-05,Book_3802,1,378
2025-06-14,Book_8285,2,1132
2025-08-27,Book_1577,5,855
2025-11-21,Book_6519,4,2864
2025-01-01,Book_1200,3,456
2025-01-01,Book_6788,2,1402
2025-12-24,Book_3305,4,856
2025-06-01,Book_9593,3,1776
2025-02-03,Book_2764,3,2289
2025-06-05,Book_90,2,1460
2025-03-11,Book_4157,4,3388
2025-02-16,Book_6608,2,1076
2025-04-05,Book_849,1,120
2025-07-11,Book_9222,5,2205
2025-03-22,Book_1047,5,3120
2025-01-22,Book_5863,5,3560
2025-09-02,Book_436,3,1914
2025-03-29,Book_6791,5,4330
2025-03-05,Book_8713,2,476
2025-09-02,Book_7182,3,2004
2025-05-20,Book_4056,3,516
2025-07-30,Book_2557,2,512
2025-06-10,Book_6392,4,3736
2025-01-27,Book_5368,3,2046
2025-12-09,Book_2428,5,2820
2025-06-23,Book_4525,4,3204
2025-08-31,Book_2496,2,1428
2025-05-27,Book_4557,1,441
2025-03-08,Book_6804,4,1476
2025-10-29,Book_3086,3,1251
2025-12-21,Book_8450,4,2852
2025-08-10,Book_7844,4,1256
2025-07-16,Book_3764,5,2370
2025-08-04,Book_5491,3,2781
2025-08-05,Book_1530,5,3585
2025-11-19,Book_9274,1,988
2025-01-08,Book_2918,2,1906
2025-12-19,Book_2478,4,3436
2025-11-14,Book_3046,5,4010
2025-11-22,Book_7756,4,3572
2025-05-07,Book_4619,2,1104
2025-07-19,Book_2082,2,986
2025-09-05,Book_3694,5,4425
2025-05-01,Book_5005,3,330
2025-08-13,Book_4025,4,2152
2025-02-25,Book_1012,2,1130
2025-01-21,Book_1276,3,1707
2025-05-04,Book_2177,2,1760
2025-02-01,Book_7938,5,1810
2025-02-21,Book_428,1,386
2025-07-03,Book_6463,4,2640
2025-05-31,Book_8964,3,1968
2025-12-19,Book_9443,1,838
2025-03-21,Book_5093,2,622
2025-08-06,Book_8024,4,1736
2025-03-12,Book_1628,3,486
2025-03-11,Book_1469,2,1030
2025-11-29,Book_1098,2,1880
2025-08-16,Book_4702,2,704
2025-02-10,Book_426,3,1416
2025-03-21,Book_9199,2,1278
2025-06-11,Book_8923,1,102
2025-11-28,Book_7411,1,710
2025-11-28,Book_5225,4,3568
2025-01-28,Book_5168,1,801
2026-01-01,Book_5659,5,775
2025-06-28,Book_1696,1,458
2025-08-17,Book_1757,4,1852
2025-04-09,Book_1696,4,1832
2025-06-16,Book_9590,2,344
2025-07-22,Book_5004,1,136
2025-08-09,Book_4087,3,1608
2025-04-04,Book_9849,2,664
2025-02-15,Book_8909,1,564
2025-10-15,Book_4840,5,2360
2025-10-22,Book_4145,1,890
2025-10-11,Book_3615,3,2430
2026-01-01,Book_7788,4,1536
2025-04-16,Book_1507,4,1084
2025-08-25,Book_3634,5,1540
2025-06-05,Book_4880,5,1570
2025-07-19,Book_186,4,3988
2025-02-16,Book_9930,5,1355
2025-10-30,Book_2105,4,460
2025-05-06,Book_323,4,3636
2025-03-26,Book_2741,4,3828
2025-05-06,Book_9838,2,1030
2025-05-03,Book_1953,2,878
2025-01-12,Book_8053,5,2785
2025-01-13,Book_8477,1,659
2025-02-09,Book_9799,1,103
2025-11-09,Book_3977,1,506
2025-01-31,Book_565,1,812
2025-06-20,Book_2209,4,1048
2025-03-22,Book_4275,3,1185
2025-10-01,Book_8537,5,2110
2025-11-01,Book_5186,2,1378
2025-07-26,Book_7939,2,1098
2025-07-26,Book_306,3,2694
2025-06-19,Book_4686,5,3005
2025-11-04,Book_6352,2,404
2025-03-30,Book_6801,3,1050
2025-03-11,Book_1306,1,416
2025-12-22,Book_8000,2,1062
2025-02-10,Book_4170,5,4955
2025-05-24,Book_9950,5,2860
2025-06-21,Book_9105,2,924
2025-08-08,Book_4907,5,1860
2025-06-02,Book_3926,2,426
2025-08-16,Book_9113,3,1704
2025-01-06,Book_8864,5,810
2025-10-20,Book_677,3,318
2025-10-18,Book_5543,2,582
2025-11-15,Book_8431,2,332
2025-05-12,Book_2206,1,467
2025-07-28,Book_7389,4,1632
2025-06-15,Book_1086,4,484
2025-07-10,Book_3115,5,4455
2025-11-06,Book_6345,3,1131
2025-10-04,Book_8941,1,401
2025-02-27,Book_7930,3,330
2025-04-25,Book_7216,2,344
2025-08-10,Book_4593,4,1256
2025-07-23,Book_900,4,1652
2025-06-22,Book_3286,3,888
2025-06-07,Book_691,4,544
2025-12-26,Book_5794,4,1024
2025-08-26,Book_288,5,2145
2025-01-01,Book_8194,2,848
2025-10-11,Book_9572,5,3950
2025-04-07,Book_8280,2,1442
2025-05-02,Book_8974,4,3544
2025-07-16,Book_844,4,3484
2025-10-12,Book_6557,2,242
2025-03-28,Book_600,4,1216
2025-08-24,Book_5030,1,105
2025-12-26,Book_1801,4,2176
2025-03-03,Book_8231,3,405
2025-11-03,Book_5372,1,346
2025-10-07,Book_9402,4,3332
2025-09-19,Book_913,3,2106
2025-04-04,Book_8057,5,3960
2025-03-26,Book_6579,5,4170
2025-06-30,Book_6365,5,4655
2025-12-03,Book_881,5,2240
2025-01-06,Book_8998,1,436
2025-08-04,Book_8022,2,1566
2025-02-21,Book_879,4,3536
2025-01-14,Book_4008,5,4015
2025-09-15,Book_7047,4,3160
2025-01-24,Book_5663,4,2664
2025-10-04,Book_7234,5,3285
2025-02-11,Book_3278,3,1986
2025-01-10,Book_7712,2,1168
2025-06-12,Book_7030,4,2476
2025-04-24,Book_8812,5,2875
2025-06-28,Book_7541,2,224
2025-01-27,Book_5382,4,2960
2025-09-17,Book_2189,5,4760
2025-03-22,Book_9690,5,3190
2025-04-10,Book_3037,1,414
2025-08-28,Book_7006,2,1850
2025-01-16,Book_928,3,2253
2025-05-29,Book_5468,1,680
2025-07-07,Book_7037,1,943
2025-09-16,Book_5017,1,749
2025-01-08,Book_2677,4,3080
2025-11-02,Book_8143,5,1850
2025-08-28,Book_8510,5,4265
2025-01-28,Book_1516,1,801
2025-10-16,Book_2589,2,850
2025-06-22,Book_6506,5,3605
2025-07-27,Book_5282,2,392
2025-02-23,Book_9039,2,1844
2025-08-01,Book_3465,1,122
2025-08-13,Book_4580,1,295
2025-11-07,Book_2444,1,319
2025-12-06,Book_5984,2,1072
2025-05-09,Book_7826,1,263
2025-05-21,Book_5249,2,702
2025-08-07,Book_7878,5,4860
2025-01-21,Book_7353,3,1677
2025-01-30,Book_2760,1,602
2025-08-11,Book_664,2,202
2025-11-03,Book_8898,2,1740
2025-10-27,Book_8516,2,914
2025-06-12,Book_8225,2,1266
2025-01-15,Book_9457,5,2895
2025-07-13,Book_2371,1,535
2025-12-18,Book_4006,5,1765
2025-08-19,Book_9135,3,723
2025-04-02,Book_1541,2,1220
2025-12-27,Book_4678,2,846
2025-12-20,Book_9927,4,2924
2025-11-27,Book_9453,1,190
2025-05-02,Book_9818,2,578
2025-03-02,Book_4712,1,499
2025-11-26,Book_5565,1,963
2025-05-01,Book_4968,1,990
2025-07-01,Book_6936,2,1566
2025-10-28,Book_4308,1,148
2025-05-14,Book_9544,5,1200
2025-08-08,Book_4056,2,344
2025-11-01,Book_4947,2,1386
2025-08-26,Book_2882,5,2590
2025-06-29,Book_2128,5,1975
2025-12-31,Book_2998,3,2058
2025-08-14,Book_9991,2,624
2025-11-19,Book_1251,3,2682
2025-08-11,Book_4502,2,1618
2025-01-06,Book_4271,3,1440
2025-08-01,Book_9116,1,720
2025-04-07,Book_1654,4,980
2025-05-30,Book_115,5,4595
2025-06-11,Book_5011,1,669
2025-03-05,Book_7394,2,1842
2025-07-24,Book_1156,3,1500
2025-07-23,Book_9438,4,3676
2025-06-23,Book_410,4,616
2025-09-12,Book_3358,2,360
2025-05-10,Book_8495,1,156
2025-09-11,Book_2721,2,596
2025-04-05,Book_3122,3,675
2025-03-01,Book_9343,1,394
2025-05-17,Book_4747,2,1060
2025-06-23,Book_6955,5,4705
2025-09-05,Book_6272,3,408
2025-05-05,Book_2769,5,4335
2025-08-23,Book_3540,3,1383
2025-02-10,Book_5408,1,672
2025-11-20,Book_4780,5,1485
2025-05-21,Book_9273,2,1814
2025-12-06,Book_6034,5,2315
2025-03-27,Book_3764,2,948
2025-11-06,Book_3949,2,1492
2025-04-10,Book_8448,5,1770
2025-03-18,Book_5997,4,2600
2025-03-13,Book_3010,4,2876
2025-02-06,Book_2935,1,224
2025-05-30,Book_1828,1,972
2025-03-12,Book_4883,1,930
2025-06-21,Book_6122,3,2706
2025-11-01,Book_3810,3,630
2025-10-18,Book_5918,4,2588
2025-07-22,Book_7982,4,3996
2025-04-22,Book_3234,1,449
2025-03-28,Book_134,5,3795
2025-07-03,Book_5400,4,1548
2025-09-03,Book_1338,1,917
2025-07-31,Book_5119,1,881
2025-05-16,Book_6867,1,996
2025-12-23,Book_7519,4,1532
2025-12-31,Book_1963,3,2763
2025-06-02,Book_314,1,375
2025-09-11,Book_3811,4,628
2025-01-12,Book_4070,1,700
2025-12-22,Book_4008,1,803
2025-06-16,Book_4376,5,3985
2025-11-03,Book_2496,5,3570
2025-06-28,Book_2287,2,1646
2025-08-05,Book_7596,1,556
2025-05-23,Book_2950,4,2296
2025-05-21,Book_7534,3,1002
2025-03-24,Book_6128,4,3652
2025-06-20,Book_6940,5,2305
